id,term,definition
card1,24VDC Power Supply (PSU),"Why we use it: The brains of the machine (PLC, sensors, HMIs) are delicate electronics that will instantly blow up if connected to heavy-duty plant voltages like 120VAC or 480VAC.



The Mechanical Translation: It takes big, wild, messy, high-pressure water and turns it into a calm, steady, low-pressure trickle suitable for delicate work.



The Analogy: This is your Pressure Regulator and Filter Station. It takes the dirty, high-pressure shop air (AC Voltage) and steps it down to a clean, stable, precise low pressure (DC Voltage) so you don't blow the seals out of your tiny pneumatic logic valves.



Why we name it this: It supplies power at exactly 24 Volts Direct Current."
card2,Motor Overload Relay (OL),"Why we use it: Motors are stupid and will kill themselves trying to move a load that is too heavy; this part stops the motor from overheating and burning its insulation off.



The Mechanical Translation: A slow-acting thermal trip that cuts the pilot signal if the main flow is too high for too long.



The Analogy: This is a Thermal Dump Valve on a hydraulic system. If your pump is working too hard against a restriction for 10 minutes, the oil gets very hot; this valve senses that heat build-up and pops open to dump fluid back to the tank before the pump destroys itself.



Why we name it this: It detects an ""overload"" condition on the motor and ""relays"" a trip signal to the main controller to shut things down."
card3,Terminal Block (Terminals),"Why we use it: You can't just twist wires together and wrap them in electrical tape like a cheap car stereo installer; it's dangerous and looks like garbage. We need a secure, organized place to join wires from outside the cabinet to wires inside the cabinet.



The Mechanical Translation: A coupling or manifold for connecting tubes.



The Analogy: This is a Pneumatic Junction Manifold or a row of Bulkhead Unions. You bring the dirty airlines in from the machine (field wiring), plug them securely into one side of the manifold, and then plug clean airlines into the other side to route them neatly inside the panel. It's just a secure coupling point.



Why we name it this: It is a block of plastic where the wire ends (terminates) to make a connection."
card4,,
card5,Normally Open (N.O.) Pushbutton,"Why we use it: It’s the most basic way for a human to tell the machine to do something only while they are actively pressing it (like a ""Jog"" or ""Start"" button).



The Mechanical Translation: A spring-loaded momentary switch that connects two wires only while you are holding it down.



The Analogy: This is the trigger on a pressure washer wand (a Spring-Return Deadman Valve). Water (electricity) is sitting at the valve, blocked. When you squeeze the trigger, water shoots out. The instant you let go, a spring snaps the valve shut and the flow stops dead.



Why we name it this: Its ""Normal"" state—when sitting on the table doing nothing—is ""Open"" (The path is broken, no flow)."
card6,Fuse (FU),"Why we use it: It is the ultimate, last-ditch safety device. It's a cheap part designed to die so expensive parts (motors, drives) don't have to.



The Mechanical Translation: A deliberate weak point designed to break first when overloaded.



The Analogy: This is exactly like a Shear Pin on a drive shaft coupling. You install a cheap brass pin connecting the shaft to the gearbox. If the conveyor jams, the cheap pin shears off instantly to save your expensive gearbox from destroying itself. The fuse is an electrical shear pin.



Why we name it this: It comes from a word meaning ""to melt."" The little metal link inside literally melts instantly when too much electricity flows through it, breaking the connection."
card7,The Main Disconnect vs. Just a Disconnect (QS),"Why we use it: To distinguish between killing power to the entire machine cabinet versus just isolating one specific piece of equipment (like a conveyor motor) for maintenance while leaving the rest running.



The Mechanical Translation: The difference between the main plant supply header valve and a small branch isolation valve.



The Analogy: The Main Disconnect is the giant 6-inch gate valve where the city water main enters your factory; close it, and every sink, toilet, and machine in the building goes dry instantly. A standard QS Disconnect is the little 1/4-turn ball valve under the breakroom sink; close it, and only that sink stops working, but the rest of the building piping is still fully pressurized.



Why we name it this: ""Main"" means it is the primary, single point of entry for all energy; regular disconnects are just localized isolation points downstream."
card8,"Inductive Proximity Sensor (Prox, B, or SQ)","Why we use it: Physical limit switches with levers and rollers wear out and break because things smack into them constantly. This sensor does the exact same job without ever physically touching the moving part, so it lasts almost forever (unless you smash it).



The Mechanical Translation: A non-contact position switch that only detects metal.



The Analogy: This is like the metal detector guy on the beach. He doesn't have to physically dig up the sand to know a quarter is buried there; his machine senses the disturbance in a magnetic field when metal gets close. The prox sensor is just a tiny, fixed metal detector.



Why we name it this: ""Proximity"" means nearness. It senses when a metallic object is in close proximity to its face using electromagnetic ""induction."""
card9,,
card10,Transformer (T or XFMR),"Why we use it: The power company sells us high voltage (like 480V) because it's efficient to transport, but your delicate controls and tools need low voltage (like 120V or 24V). This device steps the voltage down without wasting tons of energy as heat.



The Mechanical Translation: It's a gearbox for electricity.



The Analogy: Think of a Gear Reducer on a motor. The input shaft spins very fast with low torque (High Voltage, Low Current). Inside, gears mesh together to trade speed for power. The output shaft spins slowly but with massive torque (Low Voltage, High Current). A transformer does the exact same thing using magnetic fields instead of gear teeth.



Why we name it this: It literally transforms electrical energy from one voltage level to another."
card11,,
card12,,
card13,,
card14,,
card15,,
card16,,
card17,,
card18,,
card19,,
card20,,
card21,,
card22,,
card23,,
card24,,
card25,,
card26,,
card27,,
card28,,
card29,,
card30,,
card31,,
card32,,
card33,,
card34,,
card35,,
card36,,
card37,,
card38,,
card39,,
card40,,
card41,,
card42,,
card43,,
card44,,
card45,,
card46,,
card47,,
card48,,
card49,,
card50,,
card51,,
card52,,
card53,,
card54,,
card55,,
card56,,
card57,,
card58,,
card59,,
card60,,
card61,,
card62,,
card63,,
card64,,
card65,,
card66,,
card67,,
card68,,
card69,,
card70,,
card71,,
card72,,
card73,,
card74,,
card75,,
card76,,
card77,,
card78,,
card79,,
card80,,
card81,,
card82,,
card83,,
card84,,
card85,,
card86,,
card87,,
card88,,
card89,,
card90,,
card91,,
card92,,
card93,,
card94,,
card95,,
card96,,
card97,,
card98,,
card99,,
card100,,
card101,,
card102,,
card103,,
card104,,
card105,,
card106,,
card107,,
card108,,
card109,,
card110,,
card111,,
card112,,
card113,,
card114,,
card115,,
card116,,
card117,,
card118,,
card119,,
card120,,
card121,,
card122,,
card123,,
card124,,
card125,,
card126,,
card127,,
card128,,
card129,,
card130,,
card131,,
card132,,
card133,,
card134,,
card135,,
card136,,
card137,,
card138,,
card139,,
card140,,
card141,,
card142,,
card143,,
card144,,
card145,,
card146,,
card147,,
card148,,
card149,,
card150,,
card151,,
card152,,
card153,,
card154,,
card155,,
card156,,
card157,,
card158,,
card159,,
card160,,
card161,,
card162,,
card163,,
card164,,
card165,,
card166,,
card167,,
card168,,
card169,,
card170,,
card171,,
card172,,
card173,,
card174,,
card175,,
card176,,
card177,,
card178,,
card179,,
card180,,
card181,,
card182,,
